Date,California,Texas,Florida,New York,Pennsylvania,Illinois,Ohio,Georgia,North Carolina,Michigan,New Jersey,Virginia,Washington,Arizona,Massachusetts,Tennessee,Indiana,Maryland,Missouri,Wisconsin,Colorado,Minnesota,South Carolina,Alabama,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Utah,Iowa,Nevada,Arkansas,Mississippi,Kansas,New Mexico,Nebraska,Idaho,West Virginia,Hawaii,New Hampshire,Maine,Rhode Island,Montana,Delaware,South Dakota,North Dakota,Alaska,District of Columbia,Vermont,Wyoming
1/31/2019,536558.0937,204267.2758,237695.0638,336413.3342,180557.9306,188304.108,147086.5795,194201.0712,196735.4086,161292.2818,337990.3772,262516.9036,382456.0512,259283.4459,412243.375,189104.8403,149754.0824,303856.6414,158706.3183,193716.0773,376201.7968,241027.5989,182305.2753,150564.3272,172137.4919,134776.8728,348662.9355,132761.4648,253719.5096,324559.1718,153610.7254,295162.7112,140732.8138,133084.5415,145304.0101,188599.4257,170076.0197,258605.1031,116463.1577,603565.0724,271301.4646,229002.5867,286124.7036,262204.9418,263033.4832,197999.9357,210517.3891,280580.7922,562716.9758,254990.0386,241009.0428
2/28/2019,534955.2156,205004.7303,238760.268,337947.9813,181554.5562,189486.4572,148077.0709,195514.4634,197809.537,162666.7698,339283.088,263575.0614,383614.1705,260843.9763,412739.8924,190545.2381,150697.0716,305002.1226,159544.1006,195219.9318,378097.7333,242648.483,183119.1266,151638.4548,173339.237,135535.0242,350385.4667,133184.3578,254074.4445,327046.8283,154550.6618,296494.3392,141425.6583,133402.761,145889.4101,189288.6965,170971.0818,260737.062,116746.6945,603877.9348,271879.7059,229592.1853,286711.7123,263064.7286,264454.3031,199073.303,211109.5265,284252.0145,562956.7527,255315.5056,241839.3475
3/31/2019,533139.16,205642.74,239480.5717,339611.684,182602.8787,190598.4585,149077.8972,196680.5912,198915.15,164154.7332,340994.2771,264946.2767,385431.1826,262364.0287,413838.9767,192084.1658,151852.2547,306603.2809,160589.88,196853.6356,380160.1398,244470.4461,184056.5013,152884.7797,174830.8735,136364.7151,352070.3798,133576.2344,254608.2008,329823.4782,155658.8722,297795.8539,142182.0844,133969.2906,146714.0644,190099.9631,172026.0493,262969.4374,117053.7873,604454.7105,272835.9071,230391.5186,287536.9326,264402.3027,265895.788,200276.4472,211998.2846,,564571.9834,255768.5318,243102.0304
4/30/2019,532096.8371,206181.5683,240000.6757,341011.347,183449.7041,191434.8793,149842.4632,197639.8126,199916.129,165468.8374,342941.428,266307.4094,387407.2685,263649.9562,415519.53,193395.2729,152822.5116,308299.7475,161519.6754,198183.3964,382005.3525,246030.3341,184891.444,153860.0271,176167.5907,137138.8998,353388.491,134074.3273,255169.1695,332004.2705,156569.156,298869.7113,142983.3763,134652.8716,147541.8105,191110.8487,172963.6411,265212.4387,117332.9084,605532.5584,274074.2582,231290.1092,288696.3773,265897.9987,267179.8034,201422.8026,212752.6301,292635.4079,566795.5593,256247.8886,244559.9453
5/31/2019,531472.8461,206665.7463,240280.2176,341810.9698,184005.9518,191807.9962,150320.3496,198427.012,200785.8034,166485.7154,344430.67,267221.926,389128.5254,264593.1879,416705.6774,194463.5968,153541.6749,309461.2927,162175.9534,199155.5363,382978.8749,247004.9237,185685.8474,154504.4792,177116.5825,137678.7361,354069.9052,134482.441,255448.0656,333408.1758,157261.7269,299204.597,143679.8841,135318.1851,148141.6338,192322.4282,173753.0822,267362.4985,117418.4174,606411.4439,275345.5638,231866.3759,289531.5727,267228.4692,267710.8228,202312.7678,213377.2193,294733.2392,568317.2429,256519.9596,245826.2554
6/30/2019,531088.0534,207135.4523,240685.2159,342786.8251,184612.9636,191999.4078,150777.7615,199105.4141,201509.4506,167231.0623,345506.4823,267812.1025,390472.1704,265562.4685,417753.7286,195534.1502,154110.3077,310227.1416,162721.4952,199911.3963,383570.1924,247701.7537,186459.9156,155022.7542,177627.0708,138117.9988,354611.0648,135018.6866,255599.46,334311.5199,157848.4779,299483.8139,144452.1123,135933.2033,148643.4569,193434.1157,174545.7526,269477.5164,117510.0343,606960.3922,276667.444,232349.572,290289.1644,268395.0836,267731.97,203055.3091,214265.4564,296188.6398,568375.2859,256743.7072,247221.341
7/31/2019,531492.4151,207633.8119,241208.8848,343781.7628,185297.3929,191895.4612,151292.5623,199792.8848,202233.6081,167601.9777,346036.9363,268247.782,391654.4359,266540.0742,418151.6078,196615.8325,154715.744,310775.9103,163110.6388,200698.4009,384010.7286,248191.8597,187208.4354,155670.8397,178111.8016,138522.9252,355005.5858,135610.0959,255786.2092,335178.5419,158299.8506,299727.4053,145019.5258,136474.9246,149103.8661,194325.0995,175209.9864,271600.4993,117699.5949,607335.5138,278220.6225,233046.0015,290828.4544,269553.6257,267479.2886,203659.7997,215226.9403,297276.6285,568059.1923,257295.1395,248590.824
8/31/2019,533183.5705,208231.1536,241923.0596,344972.0965,186015.8091,191793.5083,151773.2102,200588.9297,203034.3376,167748.7649,346483.0561,268859.4675,392928.2822,267739.0085,418338.6596,197758.9301,155428.0734,311368.4067,163436.4032,201462.8635,384789.8029,248664.3279,187945.6119,156441.0878,178426.4093,138969.47,355598.3428,136139.7824,256058.274,336309.2891,158626.9927,300245.4279,145432.4363,136818.1935,149689.6698,195015.3741,175894.4979,273832.8626,117735.2906,607363.9444,279643.4643,234240.9438,291366.3322,271072.7086,267468.2482,204239.7862,215924.842,298301.286,568097.3937,258059.4567,250239.3071
9/30/2019,535768.5643,208883.8822,242633.0363,345622.8058,186667.8422,191531.502,152176.426,201325.3323,203801.1839,167778.5612,346702.5478,269561.3559,394144.1011,269150.0452,418264.4648,198775.9882,156071.784,311817.0116,163568.0172,202120.3712,385597.3637,248932.2064,188498.9887,157034.2734,178567.7338,139304.7646,356109.1812,136421.5545,256132.2113,337770.2568,158895.2937,300553.4956,145463.7175,136790.0677,150183.3065,195577.1147,176515.9133,275918.7489,117596.1863,607171.1047,280724.0083,235296.3111,291962.4422,272350.2581,267281.5877,204755.8393,216180.6038,299338.9575,568370.4537,258825.4549,251445.7946
10/31/2019,538815.7171,209757.6835,243573.882,346356.5124,187489.4729,191601.9543,152727.6123,202269.0404,204822.1441,168251.6965,347338.316,270481.4121,395954.6683,270826.7352,418875.5544,199974.8021,156798.5533,312314.4327,164048.2162,202874.3487,386808.5914,249471.6491,189214.2053,157801.675,178696.7222,139879.2514,357032.7491,136930.2297,256364.3949,339638.2883,159598.6729,300834.8116,145720.1177,136984.3913,150904.748,196276.2557,177354.1328,278364.6766,117602.4177,607036.0262,281754.2504,236561.7732,292817.5209,273527.8782,267078.8369,205667.6373,216593.1821,300443.4934,568887.7741,259773.8064,252757.1935
